id,name,host_name,neighbourhood_group,neighbourhood,room_type,floor,price
23612284,"Spacious, sunny duplex in Fort Greene, Brooklyn",Jacob,Brooklyn,Fort Greene,Entire home/apt,1,203.58007
7339716,Perfect West Village Apt,Jeff,Manhattan,West Village,Entire home/apt,16,535.2429239
25801507,Beautiful South Park Slope Brooklyn Apartment,Zipi,Brooklyn,Sunset Park,Entire home/apt,1,195.7289368
26594677,Wyndham Midtown 45 @ NYC,Jennifer,Manhattan,Midtown,Private room,16,264.2657755
4824146,Spacious Apt in Bushwick,Daniel,Brooklyn,Bushwick,Entire home/apt,16,250.2644747
21966498,An apartment in the heart of Williamsburg,Alexander,Brooklyn,Williamsburg,Private room,16,256.1981723
9765897,BRIGHT & QUIET BEDROOM IN CLINTON HILL BROWNSTONE,Lea,Brooklyn,Clinton Hill,Private room,1,94.64233382
18649105,Large 1 Bedroom in Astoria/Long Island City!,Andrea,Queens,Astoria,Private room,5,86.77747053
34835522,Beautiful 2 Bedrooms in upper East #5,Shai,Manhattan,Upper East Side,Entire home/apt,16,520.5046498
30347868,Private Room in the Upper East Side,Alina,Manhattan,Upper East Side,Private room,16,254.703837
530576,"1bedroom, 70s UWS,brownstone charm",Sandy,Manhattan,Upper West Side,Private room,16,255.2546337
27357537,Stylish South Williamsburg + Waterfront Terrace,Johnny,Brooklyn,Williamsburg,Entire home/apt,1,208.387665
21140951,2BED 2BATH PRIVATE BALCONY / COLUMBUS CIRCLE,Emily,Manhattan,Upper West Side,Entire home/apt,16,526.3592589
16062739,3 Cozy Zen Rooms In Beautiful Apt.,Nikki,Brooklyn,Bedford-Stuyvesant,Private room,1,94.28103753
6404584,Tree-lined block+Roof+private rooms,Joshua,Brooklyn,Crown Heights,Private room,1,132.8848698
12711351,Cozy Private Room w/ 1 Queen Bed,Shirley,Queens,Flushing,Private room,5,78.77999938
10085478,Deluxe Brooklyn Loft,Henry Norman,Brooklyn,Greenpoint,Entire home/apt,1,206.3126193
21770277,"Private Bedroom in Artsy Airbnb: Room ""L""",Sweden,Brooklyn,Prospect-Lefferts Gardens,Private room,1,89.34696406
17814209,"Private room in UES:Ideal Location, Private &Quiet",Cinthya,Manhattan,Upper East Side,Private room,16,252.7250239
27509983,AMAZING LOCATION - BEAUTIFUL ROOM,Victoria,Brooklyn,Williamsburg,Private room,1,277.6481999
14577253,Summer home for families with baby + toddler,Miguel,Manhattan,Chelsea,Entire home/apt,16,537.237908
15983444,Wonderful Private Room with Spacious Outdoor Patio,Ashley,Brooklyn,Williamsburg,Private room,1,97.72250956
19118803,Luxury Studio in Battery Park NYC,Karl,Manhattan,Financial District,Entire home/apt,1,280.489109
31835627,2 minutes to subway Room with Terrace  and sofa,Matsuko,Queens,Elmhurst,Private room,5,81.70281337
19344708,"City Retrieve3. Twin bed, lovely, simple",Jana,Manhattan,Harlem,Private room,16,245.1487921
13587436,Perfect 2 bedroom in Brooklyn,Dragica,Brooklyn,Crown Heights,Entire home/apt,1,198.2214439
21094894,Luxury Apartment Central Park - Hell’s Kitchen,Kadu,Manhattan,Hell's Kitchen,Entire home/apt,16,529.5341187
20741384,"Experiencing Tranquility in Private home, Room # 3",Bruce & Cyrina,Brooklyn,East Flatbush,Private room,1,88.1388324
1225060,Lovely Studio in Astoria,Inga,Queens,Ditmars Steinway,Entire home/apt,5,267.621462
9923485,Quiet Brooklyn Apartment,Stephanie,Brooklyn,Williamsburg,Entire home/apt,1,203.8377488
658366,HEART OF NYC! Sunny furn 1 br wifi,Dawn,Manhattan,Gramercy,Entire home/apt,16,537.6427089
274376,"Private Clinton Hill, Brooklyn Apt",Aaron,Brooklyn,Clinton Hill,Entire home/apt,1,199.131983
35600813,"Luxurious Penthouse Mid Manhattan, next to Times S",Orjan,Manhattan,Hell's Kitchen,Entire home/apt,16,531.3009752
28218710,Brooklyn Apartment,Amparo,Brooklyn,Bedford-Stuyvesant,Private room,1,91.63327061
19737173,"NYC Room Sublet, Private Space, Air conditioner",Wonkyung,Manhattan,Harlem,Private room,1,129.2020697
31596519,Idyllic 1000 Sq Ft Bushwick Loft steps from the L.,Jos,Brooklyn,Williamsburg,Entire home/apt,1,199.6041405
2087226,Penthouse With Private Roof Deck,Patrick,Manhattan,East Village,Private room,16,536.3570059
31218768,"Comfy bedroom, heart of Crown Heights",Craig,Brooklyn,Crown Heights,Private room,1,91.20598105
2217609,(Williamsburg) - Large Bedroom w/ Private Bathroom,Adam,Brooklyn,Williamsburg,Private room,1,272.898415
21801520,"Private, Cozy Manhattan Bedroom",Dina,Manhattan,Harlem,Private room,1,128.8655973
4248788,W70s Lg. Studio with outdoor space,Chloe,Manhattan,Upper West Side,Entire home/apt,16,525.4566353
21780433,Bright room in East Williamsburg,Savanah,Brooklyn,Williamsburg,Private room,1,95.79022215
26743638,"Modern, Cozy Apt Share for Young Professionals",Ollie,Brooklyn,Bedford-Stuyvesant,Private room,1,93.32378645
33254187,Room in Washingtom Heights (Manhattan),Inbar,Manhattan,Washington Heights,Private room,1,126.4665449
15230339,Bluebird Lavish 1-BR Apt 1 Mile from Times Square!,Bluebird,Manhattan,Hell's Kitchen,Entire home/apt,2,282.206142
3339205,Updated 1 bedroom heart of Chelsea,Whitney,Manhattan,Chelsea,Entire home/apt,16,536.1666603
35172393,"Brooklyn room 4mins to 2,5,3,4 trains to Manhattan",Sasha,Brooklyn,East Flatbush,Private room,1,88.33721991
29710266,Manhattan Sights & Sound (Ladies Only),Carly,Manhattan,Kips Bay,Shared room,16,266.6220279
33994465,Penthouse with huge deck and city views,Vicky And Nektarios,Brooklyn,Greenpoint,Entire home/apt,1,209.6427848
4455094,West Village Style and Charm,Michael,Manhattan,West Village,Private room,16,264.115592
19545851,Brooklyn Living,Remi,Brooklyn,Crown Heights,Private room,1,90.62439248
3369929,Couch in E. Williamsburg Luxury Apt,Thuy,Brooklyn,Williamsburg,Shared room,1,272.2100125
3116279,Cozy Studio on McGolrick Park,Bernice,Brooklyn,Greenpoint,Private room,16,525.9005215
1077375,Private RM 15min from the Manhattan,Edward,Queens,Astoria,Private room,5,92.10559183
16616320,Trendy Artist Loft in Bushwick/East W'Burg,Jason,Brooklyn,Williamsburg,Entire home/apt,1,199.8175161
32576739,The Big Apple Paradise. 10 minutes from JFK,Patrick,Queens,Rosedale,Entire home/apt,5,153.4172958
30156908,WEST VILLAGE Bohemian flat in neo-Tudor town house,Gaia&Pietro,Manhattan,West Village,Entire home/apt,1,286.0941459
1578721,"Huge, Sunny Greenpoint Flat",Eric,Brooklyn,Greenpoint,Private room,1,279.4201955
29275537,New Spacious 1BD w/ Private Bathroom Chinatown/LES,Molly,Manhattan,Two Bridges,Private room,16,262.7588523
23465208,Nice Bedroom B in Bushwick,Jay,Brooklyn,Bedford-Stuyvesant,Private room,1,88.9502979
20757749,IN MINT CONDITION-STUDIOS EAST 44TH/UNITED NATIONS,Rated,Manhattan,Midtown,Entire home/apt,16,535.3332549
24281837,Beautiful one bedroom apartment center of Astoria,Barbara,Queens,Astoria,Entire home/apt,5,166.0379143
28626448,Sunny penthouse studio in Brooklyn,Vanessa,Brooklyn,Bushwick,Entire home/apt,1,199.0171999
850517,3 Bedroom Duplex/ 2 Baths and 2 LR,Brendan,Brooklyn,Bushwick,Entire home/apt,1,194.4047151
27055213,Cozy Brooklyn Studio in Williamsburg (Graham L),Courtney,Brooklyn,Williamsburg,Entire home/apt,1,203.1619818
29459784,Comfy extra bedroom in Williamsburg,Anthony,Brooklyn,Williamsburg,Private room,1,101.5000987
15022347,Yankee Haven,Leah,Manhattan,Harlem,Entire home/apt,1,262.2148876
33040208,Stunning apartment in Williamsburg !,Lilly,Brooklyn,Williamsburg,Entire home/apt,1,206.2605056
33689191,"WHOLE APARTMENT, 15 MINUTES TO MANHATTAN",Ero,Queens,Ditmars Steinway,Entire home/apt,20,247.9210609
16315491,AWESOME CHARMING ROOM C WITH ROOF DECK ACCESS :),Katie Graham,Brooklyn,Clinton Hill,Private room,1,96.0313487
35315156,Luxury 2 BR Home in Hudson Yards,Christy,Manhattan,Chelsea,Entire home/apt,1,287.1178969
31319380,Spacious one bedroom apartment upper east side,Fatima,Manhattan,Upper East Side,Entire home/apt,16,522.7500627
21081721,"Chill, Cozy, Apt Next to Subway in LES/Chinatown",Sydney,Manhattan,Lower East Side,Private room,16,262.7588523
20051059,East Village Gem,Sarah,Manhattan,East Village,Private room,16,264.96028
6425712,Roomy and quiet 2BR in Manhattan!,Candace,Manhattan,Washington Heights,Entire home/apt,16,509.0119259
8972807,Cosy loft 20 mins to Manhattan,Amélie,Brooklyn,Williamsburg,Private room,16,252.2658197
4053564,Beautiful room with bathroom,Claudina,Brooklyn,Bedford-Stuyvesant,Private room,1,198.51597
7919636,Beautiful and spacious 3BR UES,Austin,Manhattan,Upper East Side,Private room,16,255.6380505
9938208,Madison Avenue Studio Suite (3),CRNY Monthly Rentals,Manhattan,Midtown,Entire home/apt,1,289.239109
14988134,"Beautiful, high-ceiling Gramercy one-bedroom",Mary Catherine,Manhattan,Gramercy,Entire home/apt,1,288.6091878
1476238,Spacious Midtown 1BR Apt - 4.5 Stars/21 Reviews,Buke,Manhattan,Midtown,Entire home/apt,16,531.9603609
18782064,STUDIO ON WEST 56TH COLUMBUS CIRCLE~DOORMAN,Ruchi,Manhattan,Hell's Kitchen,Entire home/apt,16,531.1579566
17074757,Ready!,Martha,Queens,Astoria,Private room,5,85.4236577
30393670,"Rad East Village 1BR w/ Gym, Doorman + Roof deck by Blueground",Blueground,Manhattan,East Village,Entire home/apt,16,535.2429239
9999220,"BEAUTIFUL, LARGE, BRIGHT 2 Bedroom",Brandon,Queens,Long Island City,Private room,5,87.63547139
33210106,East Village sanctuary.,Shane,Manhattan,East Village,Entire home/apt,1,287.5044151
22483110,Beautifully curated artist apartment in Park Slope,Fabiola,Brooklyn,South Slope,Entire home/apt,1,196.5093629
479867,Williamsburg 2b apartment with deck,Hannah,Brooklyn,Williamsburg,Entire home/apt,1,140.540881
5859030,Perfect Home Away from Home in NYC!,AFI Apartments,Manhattan,Upper East Side,Entire home/apt,16,525.3599385
7456166,Large 1 Bdrm for 5; close to Roberta's / Morgan L,Peter,Brooklyn,Bushwick,Entire home/apt,1,270.0435473
26895469,Conveniently located room near Times Sq. 43D1,John,Manhattan,Hell's Kitchen,Private room,16,263.6013217
31814773,Amazing Private room near Central Park,Sergii,Manhattan,Harlem,Private room,1,131.4307842
17750238,Great room in a spacious Inwood Apartment,Max,Manhattan,Inwood,Private room,1,124.8152076
